title,job_id,company,location,date,link,description
Sr Software Development Engineer,7386a53b902e8484,Workday,"Tel Aviv-Yafo, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=7386a53b902e8484,"Your work days are brighter here.
At Workday, it all began with a conversation over breakfast. When our founders met at a sunny California diner, they came up with an idea to revolutionize the enterprise software market. And when we began to rise, one thing that really set us apart was our culture. A culture which was driven by our value of putting our people first. And ever since, the happiness, development, and contribution of every Workmate is central to who we are. Our Workmates believe a healthy employee-centric, collaborative culture is the essential mix of ingredients for success in business. That’s why we look after our people, communities and the planet while still being profitable. Feel encouraged to shine, however that manifests: you don’t need to hide who you are. You can feel the energy and the passion, it's what makes us unique. Inspired to make a brighter work day for all and transform with us to the next stage of our growth journey? Bring your brightest version of you and have a brighter work day here.
About the Team
HiredScore is the newest addition to the Workday family!

As the leading provider of Talent Orchestration technology, HiredScore’s artificial intelligence, automation and deep integrations empower the largest and most innovative companies in the world to safely and transparently drive critical business outcomes in recruitment productivity, diversity hiring, internal mobility, and total talent management.

Our team is dedicated to designing and implementing cutting-edge architecture to meet the scaling needs of our rapidly growing client base. We collaborate closely with cross-functional teams to deliver robust and scalable solutions, leveraging our expertise in Python, k8s, MongoDB, Celery, and more. Focused on integrating with MS Teams, we orchestrate collaboration between recruiters and hiring managers, surfacing data driven notifications by our AI to optimize the recruitment process.
About the Role
Design and implement scalable solutions to complex problems, taking full ownership of feature sets from the initial discussion through to client delivery.
Comfortable with working on distributed systems based on k8s architecture, knowledge of ArgoCD
Maintain high standards when working with production systems, with a strong focus on testing, monitoring, and alerting to ensure system stability.
Express yourself and bring your personal experience & knowledge into an agile diverse team (we’re counting on the amazing people to help us grow & adapt)
Collaborate closely with product managers, data scientists, and other engineers to integrate cutting-edge AI capabilities into our products.
Mentor and guide junior team members, fostering a culture of continuous learning and improvement.
Stay current with emerging technologies and industry trends, ensuring our solutions remain innovative and effective.
About You
Basic Qualifications
6+ years of experience with: Python or Java or Go or Node.js - Must
K8s, ArgoCD, modern CICD pipelines
Experience of integrating with third-party APIs
Experience around queueing systems (RabbitMQ, Celery, Kafka, etc) - Must
Knowledge in system architecture, design, and building for scale - Must
Experience with test writing (TDD)
DB experience (SQL and/or No-SQL)
Deep knowledge in system architecture, design, and building for scale
Self-driven and can deliver solutions partnering with both internal and external development teams.
A passion for tech and solving complex problems.
Can-do attitude, highly motivated, highly effective working independently, and a team player.
Other Qualifications (Advantages)
Experience with product delivery
Argo workflows
Full stack experience (React, Vue)
ETL (building data pipelines) experience

Our Approach to Flexible Work

With Flex Work, we’re combining the best of both worlds: in-person time and remote. Our approach enables our teams to deepen connections, maintain a strong community, and do their best work. We know that flexibility can take shape in many ways, so rather than a number of required days in-office each week, we simply spend at least half (50%) of our time each quarter in the office or in the field with our customers, prospects, and partners (depending on role). This means you'll have the freedom to create a flexible schedule that caters to your business, team, and personal needs, while being intentional to make the most of time spent together. Those in our remote ""home office"" roles also have the opportunity to come together in our offices for important moments that matter.
Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!"
"Software Engineer III, Firmware, Google Cloud",7f99c6e1220180b1,Google,"Tel Aviv-Yafo, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=7f99c6e1220180b1,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Tel Aviv, Israel; Haifa, Israel.
Minimum qualifications:
Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.
2 years of experience with developing large-scale infrastructure, distributed systems or networks, or experience with compute technologies, storage or hardware architecture.
2 years of experience with data structures or algorithms.

Preferred qualifications:
Master's degree or PhD in Computer Science, or a related technical field.
Experience with hardware design, computer architecture or chip design.
Experience with SoC power management techniques or SoC secured boot flow.
Experience developing accessible technologies.
Familiarity with hardware emulation and modeling, and PCIe/DMA/virtualization/memory modules.
Ability to work with hardware at the device level and software, especially in a lab environment.
About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
Responsibilities
Build firmware running on embedded processors with limited memory footprints on the System-on-a-chip (SoC).
Design and implement multi threaded applications and device drivers running under an open source real time operating system.
Develop tools to update and debug the firmware, enable emulation, chip bringup, and hardware debugging.
Build Linux kernel device drivers to attach the SoCs to data center systems and associated C++ userspace drivers, tools and libraries, and write code to handle Direct Memory Access (DMA), interrupts, power management, SoC initialization, and error handling.
Play key roles in emulation, chip bringup, and SoC deployment, and contribute to all layers of the data center software stack to deploy SoCs to production.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
NOC Engineer,01da060531279e42,Radware,"Tel Aviv-Yafo, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=01da060531279e42,"NOC Engineer - (2400005S)

Radware is a global leader of cyber security and application delivery solutions for physical, cloud, and software defined data centers.
At Radware, we live and breathe cybersecurity. It is our passion. Each day, our international team works to earn the trust of more than 12,500 organizations around the globe. Keeping them safe is our mission. To that end, we go head-to-head with politically motivated hacktivists, dangerous nation-state threat actors and other notorious cyber attackers — these are not your average adversaries. Backed by nearly 30 years of experience, Radware is best known for its technical excellence and innovative network and application security solutions. That is why it is so important that we build our team with bold and bright talent.
What is the job: As a NOC Engineer, You will be part of the team that supports the Cloud infrastructure health and service monitoring 24x7.
The group supports the ERT (Emergency Response Team) and Operations team, providing first-level support, troubleshooting for all operative and infrastructure incidents for a global distributed network, and maintaining internal tickets, alerts, and KPIs. You will perform the initial evaluation and, if unable to resolve the issue, will escalate it to the relevant team with needed information. The Engineer will manage the war room if needed and relay the impact to all relevant parties.

What you need:
Networking flows and protocols knowledge with the ability to understand the distributed SaaS environment
Good understanding of and experience with managing incidents and supporting systems
Availability to work in shifts 24/7- at least 5 shifts a week
Customer and service oriented- experience in a customer facing/support role- a significant advantage
Excellent troubleshooting and diagnosis capabilities
Excellent communication skills and teamwork
Excellent time management, multitasking, and prioritization skills
Perceptive, fast learner, and able to perform well under pressure
Create and follow runbooks to assure system health and KPI
Manage real time incidents with multiple teams
Clear understanding of networking elements and back-end systems
How can you stand out:
Experience with similar positions/companies
Experience with monitoring tools, routers, switches, load balancers, and firewalls
Knowledge of scripting languages and security protocols
BSc/BA in Computer Science or equivalent
Why you should join us:
Employees from more than 40 countries have chosen Radware as a place where they can belong.
Radware has been recognized by Glassdoor and BDI as one of the World’s Best Places to Work, ranking among the top 100 companies across the globe in the IT category.
Radware has also been named a Gold Winner for Application Security in the 2023 Globee Cybersecurity Awards, by Forrester a Leader in DDoS Protection, and has been named a Leader in WAF Market by Quadrant Knowledge Solutions.
We are equally committed to our people. We strive to create a dynamic work environment that celebrates diversity, promotes equality, and thrives on the unique contributions of each individual.
If you are ready to be part of a global-minded company that is inspired to create a better, safer future; and if and want to fight for the good guys and be at the forefront of helping companies protect their most critical assets from today’s cyber adversaries, then you’ve found the right fit at Radware.
#LI-NB1
Primary Location: IL-IL-Tel Aviv
Work Locations: Radware Israel, Tel Aviv 22 Raoul Wallenberg Street Tel Aviv 69710
Job: Information / Cyber Security"
Lead Backend Developer,ded1ed33d16325c8,Sunbit,"Binyamina-Givat Ada, Haifa District",2024-08-20,https://il.indeed.com/viewjob?jk=ded1ed33d16325c8,"About Us
Sunbit builds financial technology for real life. Our technology eases the stress of paying for life’s expenses by giving people more options on how and when they pay. Founded in 2016, Sunbit offers a next-generation, no-fee credit card that can be managed through a powerful mobile app, as well as a point-of-sale payment option available at more than 21,000 service locations, including auto dealership service centers, optical practices, dental offices, veterinary clinics, and specialty healthcare services. Sunbit was included on the 2022 Inc. 5000 list. The financial technology company has also been named Sunbit as a Most Loved Workplace®, Best Point of Sale Company, and a Top Fintech Startup by CB Insights.
We use cutting-edge innovations in financial technology to bring leading data and features that allow individuals to be qualified instantly, making purchases at the point-of-sale fast, fair, and easy for consumers from all walks of life. We create value focused on our core values; we work tirelessly to ensure that Sunbit becomes available to everyone, everywhere.
We invite you to #UnleashyourCuriosity and join our ever-growing R&D organization.
Feel free to reach out with any questions!
What You’ll Do:
Sunbit is seeking a Senior Software Engineer to join our Purchase Squad. This team is at the heart of our company's operations, responsible for developing and maintaining our core loan application system. This role will be involved in complex system architecture, providing unique challenges that demand a strong passion for architecture, outstanding coding skills, and a continuous learning mindset.
Key Responsibilities:
Contribute to the development of our core loan application system, ensuring high-quality products and services.
Solve complex architectural problems, utilizing your deep understanding of system architecture.
Collaborate with other team members, sharing your expertise and facilitating a culture of learning.
Maintain our system architecture, ensuring smooth operation and quality user experience.
Be an advocate for clean, efficient, and maintainable code.
Provide mentorship to junior team members, nurturing their growth and development.

Requirements:
Proficiency in modern system architecture with large-scale and high performance.
Strong problem-solving skills, capable of meeting technical challenges head-on.
Proven ability to mentor junior developers, guiding them to reach their full potential.
A passion for learning, constantly staying up to date with industry trends and technology advancements.
Resourceful, self-motivated, and capable of working independently.
B.Sc in computer science or equivalent.
Fluent English
Preferred Experience:
10+ years of experience in Software Engineering, focusing on system architecture.
Experience with software development in Kotlin or Java.
Prior experience in a fintech company is highly desirable.
Experience with a microservices architecture
Experience with AWS.
Experience with Spring framework.
Experience with event streaming systems.
Experience in Data mesh.
Experience in payment processing or other financial services."
Senior Automation Engineer,7ec9dc0432f36f5b,Kaltura,"Bnei Brak, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=7ec9dc0432f36f5b,"This is us
Kaltura’s (NYSE:KLTR) mission is to power any video experience for any organization – live, on-demand, or real-time. We not only want to make using video simpler, but we also want to better people’s lives through video. Founded in 2006, Kaltura is now a global leader in the video market with millions of people using our products daily to teach, learn, watch, connect, and collaborate. Among our customers, you’ll find more than 1000 global, well-known organizations.
15+ years since starting the company, we continue to foster a diverse and collaborative work environment where everyone gets a say. Our team is currently 700+ people, and we’re still growing. We have offices in New York, London, Singapore, and Tel Aviv, but our technology is all in the cloud.
Kaltura has a fast-paced environment where initiative is always encouraged. Together with our hybrid work model and flexible state of mind, you get the right conditions for creative juices to flow freely. Thanks to our long line of products, cultivation of rich collaborative culture and care for each Kalturian, you’ll never run out of room to grow and evolve.
If you don't meet 100% of the requirements below - that's okay, nobody's perfect! We believe in hiring people, not just a list of skills. We encourage you to apply if you think this is a role that would make you excited about coming to work every day.

Requirements:

The role
As a Senior Automation Engineer with over 5 years of experience, you are responsible for designing, developing, and implementing advanced automated testing solutions to ensure the quality and reliability of software applications. You provide technical guidance, collaborate with cross-functional teams, and ensure that best practices in automation testing are followed. Your role involves integrating automated tests into the development process, optimizing the CI/CD pipeline, and improving overall test coverage.
The day-to-day:
Designing and building the automated testing infrastructure and process to support the development and deployment processes.
Leading the architecture, planning and development of the QA automation infrastructure and framework
Work closely with software QA, DevOps and software development engineers
Defining the QA automation methodologies and tools
Develop and apply testing processes for new and existing products to meet customer needs
Identifying quality issues, tracking bugs and creating test reports
Ideally, we’re looking for:
5+ years of experience as an automation developer.
Proven experience with UI automation frameworks.
Strong background in developing Python-based frameworks for test automation (Pytest, unittest, etc.).
Experience in developing Python-based automation frameworks.
Proficiency in bash and shell scripting.
Ability to articulate complex ideas, designs, and issues to both technical and non-technical staff.
These would also be nice:
Experience in building QA automation infrastructure from scratch
Experience with testing complex cloud-based software systems, CI/CD processes and source control systems (preferably GitHub).
Good knowledge in AWS cloud and DevOps tools stack (e.g., GitHub actions, Jenkins)
The perks:
Hybrid, flexible work environment
Extended private health (including mental) insurance
Personal and professional development programs
Occasional Cross company long weekends"
Software Engineer,087662bdbb912e05,Microsoft,"Tel Aviv-Yafo, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=087662bdbb912e05,"Come build community, explore your passions and do your best work at Microsoft. This opportunity will allow you to bring your aspirations, talent, potential - and excitement for the journey ahead.
Education products team is looking for a highly capable and motivated full stack engineer in very early career stages to join our team! The Education products team in Microsoft Education builds and operates experiences to empower and delight learners and educators for the betterment of education of millions of users worldwide.

As a Software Engineer you will develop software, tools and code to be used in support of design, infrastructure, and technology platforms as well as commercial or end-user applications. This opportunity will allow you to create and implement extensible and maintainable code for a product, service, or feature. You will partner with stakeholders to determine user requirements for a feature and consider a variety of feedback channels to incorporate insights into future designs or solution fixes. You will collaborate with others to create a clear and articulated plan for testing, assuring quality of solutions, while applying knowledge of debugging tools, logs, telemetry, and other methods to proactively flag issues. This opportunity will allow you to learn about customer scaling requirements and the application of best practices for meeting scaling needs and performance expectations, while ensuring the correct processes are followed to achieve a high degree of security, privacy, safety, and accessibility.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond
Responsibilities
Learn to review and break down work items into tasks with stakeholder collaboration, provide estimations, and escalate delays, while also supporting feature deployments to customers, considering user and service impacts, and adhering to best deployment practices for safety.
Collaborate with key stakeholders to define feature requirements, integrate feedback to enhance design, and establish feedback loops for continuous improvement based on customer metrics.
Learn and apply coding standards and best practices through code reviews, developing maintainable and extensible code with guidance. Utilize debugging tools to proactively and reactively address issues in product features, ensuring code quality and reliability.
Support the identification of dependencies and design documentation for product features, learn about system interactions and back-end dependencies, and contribute to architectural processes under guidance. Produce code to test hypotheses for technical solutions and assist with technical validation efforts. Collaborate on quality assurance plans, augment test cases, and integrate automation into testing, while understanding the implications of security and compliance in system architecture.
Contribute to data analysis and feedback integration for product engineering decisions, acting as a Designated Responsible Individual (DRI) for monitoring and restoring system functionality within Service Level Agreement (SLA) timeframe. Participate in live service operations, and support telemetry data integration for system behavior insights, with a focus on performance, reliability, and safety.
Develop and apply best practices for reliable code building, understand global and local regulations, customer scaling requirements, and support communication with key partners across Microsoft for user experience enhancement and partner needs.
Ensure compliance with security, privacy, safety, and accessibility standards, leverage developer tools for code creation and debugging, contribute to automation in production and deployment, and proactively seek knowledge to improve product availability, reliability, efficiency, and performance at scale.
Qualifications
Required Qualifications
Bachelor's Degree (or currently pursuing a degree) in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR equivalent experience.
Preferred Qualifiations
Bachelor's Degree (or currently pursuing a degree) in Computer Science or related technical field AND 1+ year(s) technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python OR equivalent experience.
OR Master's Degree (or currently pursuing a degree) in Computer Science or related technical field with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python.
OR equivalent experience.

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
ERT Analyst (SOC),4512c3c12e06a6d9,Radware,"Tel Aviv-Yafo, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=4512c3c12e06a6d9,"ERT Analyst (SOC) - (24000068)

Radware is a global leader of cyber security and application delivery solutions for physical, cloud, and software defined data centers.
At Radware, we live and breathe cybersecurity. It is our passion. Each day, our international team works to earn the trust of more than 12,500 organizations around the globe. Keeping them safe is our mission. To that end, we go head-to-head with politically motivated hacktivists, dangerous nation-state threat actors and other notorious cyber attackers — these are not your average adversaries. Backed by nearly 30 years of experience, Radware is best known for its technical excellence and innovative network and application security solutions. That is why it is so important that we build our team with bold and bright talent.

About the Team: The ERT Engineer will join the Emergency Response Team (ERT) in Radware’s Security Business Unit. The ERT group provides immediate and direct support for customers under attack to ensure services remain functioning and customer is satisfied.

What is the job: You will have the skills of the ERT highest escalation group, providing technical security and support and expert guidance on product use as part of an overall network security defense solution (I.e. attack detection and mitigation), support strategic internal and customer projects, and provide real time support to security-related business and technical challenges.
In addition, as an Engineer the successful candidate will guide and support more junior ERT Analysts and facilitate collaboration between other groups, including our senior Cloud WAF and DDoS teams, and our TAC support group. The ERT Engineer is one link up in the escalation chain for ERT Analysts and provides support as part of the off hours on-call group.
What do you need to succeed:
Availability to work in shifts 24/7- at least 5 shifts a week
Customer and service oriented
Excellent troubleshooting and diagnosis capabilities
Willing to be on alert during off-work hours
Excellent communication skills and teamwork
Excellent time management, multi-tasking, and prioritization skills
Perceptive, fast learner, and able to perform well under pressure
Good staff management skills, building team trust and collaboration
Able to work and guide communication between other teams and their management
Will be happy if you also have:
Experience in similar positions/companies
BSc/BA in Computer Science or equivalent
Knowledge in scripting language

Why you should join us:
Employees from more than 40 countries have chosen Radware as a place where they can belong.
Radware has been recognized by Glassdoor and BDI as one of the World’s Best Places to Work, ranking among the top 100 companies across the globe in the IT category.
Radware has also been named a Gold Winner for Application Security in the 2023 Globee Cybersecurity Awards, by Forrester a Leader in DDoS Protection, and has been named a Leader in WAF Market by Quadrant Knowledge Solutions.
We are equally committed to our people. We strive to create a dynamic work environment that celebrates diversity, promotes equality, and thrives on the unique contributions of each individual.
If you are ready to be part of a global-minded company that is inspired to create a better, safer future; and if and want to fight for the good guys and be at the forefront of helping companies protect their most critical assets from today’s cyber adversaries, then you’ve found the right fit at Radware.
#LI-NB1
Primary Location: IL-IL-Tel Aviv
Work Locations: Radware Israel, Tel Aviv 22 Raoul Wallenberg Street Tel Aviv 69710
Job: Information / Cyber Security"
Python Software Engineer - Cloud Unit,4c769fd46aa8097d,Redis,"Tel Aviv-Yafo, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=4c769fd46aa8097d,"Who we are
We're Redis. We built the product that runs the fast apps our world runs on. (If you checked the weather, used your credit card, or looked at your flight status online today, you're welcome.) At Redis, you'll work with the fastest, simplest technology in the business—whether you're building it, telling its story, or selling it to our 10,000+ worldwide customers. We're creating a faster world with simpler experiences. You in?
You will join a dynamic team of engineers driving the platform that plans and provisions the Redis cluster's infrastructure as part of our cloud offering.Our ideal candidate is a talented individual who loves working with a diverse team of bright and ambitious people, is passionate about technology in general and particularly about cloud-related challenges, performance, and distributed computing, and one who is a team player and a quick learner, and is always eager to learn and improve.So, if you're all that and you want to make an impact while contributing to a wildly successful unicorn, then this is the right challenge for you.
What You'll Do:
Develop the next generation of Redis' cloud products and solutions.
Integrate capabilities from major cloud providers into our Redis solution to enhance its flexibility and scalability.
Collaborate with cross-functional teams to create scalable and resilient architecture.
Develop an automated cloud infrastructure management system and tools allowing interaction with our platform.
What You'll Need to Have:
B.Sc. in Computer Science or Software Engineering, or equivalent
Extensive experience with Python or a similar high-level programming language
At least 2 years of hands-on backend development experience working on large-scale, production-grade systems
Experience working with cloud providers, with an advantage for those experienced with AWS and GCP
Strong problem-solving abilities and coding skills, with a solid understanding of large-scale architecture and design patterns
Capability to lead initiatives and projects, along with strong communication and collaboration skills
Self-motivation, passion, and eagerness to learn new technologies
Independence and resourcefulness, while also being a collaborative team player
Extra Great If You Have:
Proficiency with Docker and container orchestration platforms, preferably Kubernetes (K8s)
Experience with RESTful APIs and microservices architecture
Hands-on experience with leading Python web API frameworks such as Flask or FastAPI
Experience with CI/CD tools (Jenkins, Github Actions, ArgoCD)
Experience with distributed, queue-based systems (Celery, Airflow, etc..)
We give back to our employees:
Our culture is what makes Redis a fun and rewarding place to work. To support you at work and beyond, we offer all our Israel team members fantastic benefits and perks:
Competitive salaries and equity grants
Flexible working options
Frequent team celebrations and recreation events
Lunch stipends
Home internet & phone stipend
Gym membership for a healthy mind and body
Learning and development opportunities
Ability to influence a high-performance company on its way to IPO
#LI-LK2
#LI-HYBRID
As a global company, we value a culture of curiosity, diversity of thought, and innovation from our employees, customers, and partners. Redis is committed to a diverse and inclusive work environment where all employees' differences are celebrated and supported, and everyone feels safe to bring their authentic selves to work. Redis is dedicated to equal employment opportunities regardless of race, color, ancestry, religion, sex, national orientation, sexual orientation, age, marital status, disability, gender identity, gender expression, Veteran status, or any other classification protected by federal, state, or local law. We strive to create a workplace where every voice is heard, and every idea is respected.
Redis is committed to working with and providing access and reasonable accommodation to applicants with mental and/or physical disabilities. If you think you may require accommodations for any part of the recruitment process, please send a request to recruiting@redis.com. All requests for accommodations are treated discreetly and confidentially, as practical and permitted by law.
Redis reserves the right to retain data longer than stated in the privacy policy in order to evaluate candidates."
Software Engineer- Azure Monitor,9242c10ad1c2924f,Microsoft,"Tel Aviv-Yafo, Tel Aviv District",2024-08-20,https://il.indeed.com/viewjob?jk=9242c10ad1c2924f,"Azure Monitor offers observability into your applications and infrastructure running on Azure or outside of it. It is a portfolio of massive scale platforms and solutions to monitor the health and performance of your systems and applications across the stack (IaaS, K8s, PaaS, SaaS and all types of clients) and surface actionable insights.
Our Log Analytics team in the Israel R&D center owns the Logs scenarios in Azure Monitor.
Our platform is a critical tool for Azure users, providing insights and analytics for a wide range of applications and products. We work with the most advanced cloud technologies to build micro-services that provide back-end processing at Internet scale. We are committed to providing Azure users with a high-scale, highly reliable logs platform that delivers exceptional performance with very low latency.
We have a lot of challenges – building services at that scale poses the biggest challenges there are in the software industry. So, we are looking for a strong software engineer to come help us build jaw-dropping logs scenarios that run in Internet scale and enterprise grade!
Responsibilities
As a Software Engineer, you will have the amazing opportunity to work on essential projects that directly affect the future of Azure’s business and impact 100K's of customers. You will be required to be proficient, show strong technical skills, and be able to quickly learn new domains as your tasks will involve all aspects of Azure’s business and all levels of the cloud technology stack. You are expected to have great software design skills and to plan, design and deliver high quality features.
You will work with a team of developers and program managers and participate in technical design and delivery of solutions to hard problems within the infrastructure that supports Microsoft's services. This will require collaboration with stakeholders across Azure to understand the problem, and to research, design and build the solution.
Qualifications
2+ years of proven hands-on experience as a software engineer working on large scale production systems
BSC or MSC in Software/Computer Engineering or a related field
Strong problem analysis skills as well as true passion for software engineering and code
Attention to details and passion for quality
Team player with excellent collaboration and communication skills
Advantage - experience with cloud environments, modern software architecture, advanced programming paradigms

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
Senior Staff Software Engineer,3d1c638f432f4520,ServiceNow,"Petah Tikva, Center District",2024-08-20,https://il.indeed.com/viewjob?jk=3d1c638f432f4520,"Company Description

At ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world can’t wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happens when you live your best life and share your unique talents, so we do everything we can to make that possible. We dream big together, supporting each other to make our individual and collective dreams come true. The future is ours, and it starts with you.
With more than 7,700+ customers, we serve approximately 85% of the Fortune 500®, and we're proud to be one of FORTUNE 100 Best Companies to Work For® and World's Most Admired Companies™.
Learn more on Life at Now blog and hear from our employees about their experiences working at ServiceNow.
Unsure if you meet all the qualifications of a job description but are deeply excited about the role? We still encourage you to apply! At ServiceNow, we are committed to creating an inclusive environment where all voices are heard, valued, and respected. We welcome all candidates, including individuals from non-traditional, varied backgrounds, that might not come from a typical path connected to this role. We believe skills and experience are transferrable, and the desire to dream big makes for great candidates.

Job Description

What you get to do in this role:
Work on the next generation of our Application Development Controller (ADC), VPN and Firewalls as we grow our networks
Work from the ground up building brand new applications to help ServiceNow scale and grow to the next level
Build high-quality, clean, scalable and reusable code by enforcing best practices around software engineering architecture and processes (Code Reviews, Unit testing, etc.)
Work with the product owners to understand detailed requirements and own your code from design, implementation, test automation and delivery of high-quality product to our users.
Implement software that is simple to use to allow customers to extend and customize the functionality to meet their specific needs
Contribute to the design and implementation of new products and features while also enhancing the existing product suite
Be a mentor for colleagues and help promote knowledge-sharing

Qualifications

To be successful in this role you have:
8+ years of experience, especially working with C++
Deep knowledge in Nginx, HAproxy or other load balancing and deep packet processing solutions
Development experience in core Linux networking stack including DPDK, TLS offload, Smart NIC design and usage
Understanding of core internet routing and dynamics of designing and building a public facing network
Experience with network modeling and programming using technologies such as YANG, OpenConfig, NETCONF, etc
Experience building software solutions for Firewall, DDOS and VPN solutions
Experience in route propagation concepts and cluster shared knowledge architecture
Analytical and design skills

FD21

Additional Information

ServiceNow is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status or any other category protected by law.
At ServiceNow, we lead with flexibility and trust in our distributed world of work. Click here to learn about our work personas: flexible, remote and required-in-office.
If you require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at talent.acquisition@servicenow.com for assistance.
For positions requiring access to technical data subject to export control regulations, including Export Administration Regulations (EAR), ServiceNow may have to obtain export licensing approval from the U.S. Government for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by the U.S. Government.
Please Note: Fraudulent job postings/job scams are increasingly common. Click here to learn what to watch out for and how to protect yourself. All genuine ServiceNow job postings can be found through the ServiceNow Careers site.

From Fortune. © 2022 Fortune Media IP Limited All rights reserved. Used under license.
Fortune and Fortune Media IP Limited are not affiliated with, and do not endorse products or services of, ServiceNow."
